72,-34,2
72,-34,4
72,-32,0
72,-32,2
72,-32,4
72,-32,6
72,-30,-2
72,-30,0
72,-30,4
72,-30,6
72,-28,-2
72,-28,6
72,-26,-2
72,-26,6
72,-24,6
72,-22,4
70,-42,10
70,-40,8
70,-40,10
70,-40,12
70,-38,4
70,-38,6
70,-38,8
70,-38,10
70,-36,2
70,-36,4
70,-36,6
70,-36,8
70,-36,10
70,-36,12
70,-34,0
70,-34,2
70,-34,4
70,-34,6
70,-34,8
70,-34,10
70,-34,12
70,-32,0
70,-32,2
70,-32,4
70,-32,6
70,-32,8
70,-32,10
70,-32,12
70,-30,-2
70,-30,0
70,-30,2
70,-30,4
70,-30,6
70,-30,8
70,-30,10
70,-30,12
70,-28,-4
70,-28,-2
70,-28,0
70,-28,2
70,-28,4
70,-28,6
70,-28,8
70,-28,10
70,-28,12
70,-26,-4
70,-26,-2
70,-26,0
70,-26,2
70,-26,4
70,-26,6
70,-26,8
70,-26,10
70,-26,12
70,-24,-4
70,-24,-2
70,-24,0
70,-24,2
70,-24,4
70,-24,6
70,-24,8
70,-24,10
70,-24,12
70,-22,-4
70,-22,-2
70,-22,0
70,-22,2
70,-22,4
70,-22,6
70,-22,8
70,-22,10
70,-22,12
70,-20,-4
70,-20,-2
70,-20,0
70,-20,2
70,-20,4
70,-20,6
70,-20,8
70,-20,10
70,-20,12
70,-18,-4
70,-18,-2
70,-18,0
70,-18,2
70,-18,4
70,-18,6
70,-18,8
70,-18,10
70,-18,12
70,-16,-4
70,-16,-2
70,-16,0
70,-16,2
70,-16,4
70,-16,6
70,-16,8
70,-16,10
70,-14,-2
70,-14,0
70,-14,4
70,-14,6
70,-14,8
70,-14,10
70,-12,0
70,-12,4
70,-12,6
70,-12,8
70,-10,2
70,-10,4
68,-48,10
68,-48,12
68,-48,14
68,-48,16
68,-46,8
68,-46,10
68,-46,12
68,-46,14
68,-46,16
68,-44,8
68,-44,10
68,-44,12
68,-44,14
68,-44,16
68,-44,18
68,-42,8
68,-42,10
68,-42,12
68,-42,14
68,-42,18
68,-42,20
68,-40,6
68,-40,8
68,-40,10
68,-40,12
68,-40,14
68,-40,16
68,-40,18
68,-40,20
68,-40,22
68,-40,24
68,-38,4
68,-38,6
68,-38,8
68,-38,10
68,-38,12
68,-38,14
68,-38,16
68,-38,18
68,-38,20
68,-38,22
68,-38,24
68,-36,2
68,-36,4
68,-36,6
68,-36,8
68,-36,10
68,-36,12
68,-36,14
68,-36,16
68,-36,18
68,-36,20
68,-36,22
68,-36,24
68,-34,0
68,-34,2
68,-34,4
68,-34,6
68,-34,8
68,-34,10
68,-34,12
68,-34,14
68,-34,16
68,-34,18
68,-34,20
68,-34,22
68,-34,24
68,-32,-2
